"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordId","ProductName","RateId","SubscriptionId","PricingPlanId","UsageType","Operation","AvailabilityZone","ReservedInstance","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","Rate","Cost","ResourceId"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396603406686777001507686","Amazon Elastic Compute Cloud","1508428","13630970","287524","APN1-LoadBalancerUsage","LoadBalancing",,"N","$0.028 per LoadBalancer-hour (or partial hour) ","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0280000000","0.02800000","7077201"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396621853430850710897363","Amazon Elastic Compute Cloud","1506238","13630970","287524","APS2-BoxUsage","RunInstances","ap-southeast-2a","N","$0.080 per M1 Standard Small (m1.small) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0800000000","0.08000000","i-3edc5d03"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396621853430850710897364","Amazon Elastic Compute Cloud","1506238","13630970","287524","APS2-BoxUsage","RunInstances","ap-southeast-2b","N","$0.080 per M1 Standard Small (m1.small) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0800000000","0.08000000","i-3507ce08"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396621853430850710897365","Amazon Elastic Compute Cloud","1506238","13630970","287524","APS2-BoxUsage","RunInstances","ap-southeast-2b","N","$0.080 per M1 Standard Small (m1.small) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0800000000","0.08000000","i-4513da78"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396621853430850710897366","Amazon Elastic Compute Cloud","1506238","13630970","287524","APS2-BoxUsage","RunInstances","ap-southeast-2b","N","$0.080 per M1 Standard Small (m1.small) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0800000000","0.08000000","i-59c70864"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396621853430850710897367","Amazon Elastic Compute Cloud","1506238","13630970","287524","APS2-BoxUsage","RunInstances","ap-southeast-2b","N","$0.080 per M1 Standard Small (m1.small) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0800000000","0.08000000","i-62c93b5e"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396621853430850710897368","Amazon Elastic Compute Cloud","1506238","13630970","287524","APS2-BoxUsage","RunInstances","ap-southeast-2b","N","$0.080 per M1 Standard Small (m1.small) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0800000000","0.08000000","i-7bf55347"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396640300174924419927876","Amazon Elastic Compute Cloud","1506311","13630970","287524","APS2-BoxUsage:m1.medium","RunInstances","ap-southeast-2b","N","$0.160 per M1 Standard Medium (m1.medium) Linux/UNIX instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.1600000000","0.16000000","i-cc46e1f1"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396658746918998129484338","Amazon Elastic Compute Cloud","1508867","13630970","287524","APS2-BoxUsage:t1.micro","RunInstances","ap-southeast-2b","N","$0.02 per Micro Instance (t1.micro) instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0200000000","0.02000000","i-2295251e"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396658746918998129484339","Amazon Elastic Compute Cloud","1508867","13630970","287524","APS2-BoxUsage:t1.micro","RunInstances","ap-southeast-2b","N","$0.02 per Micro Instance (t1.micro) instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0200000000","0.02000000","i-22da6e1f"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396658746918998129484340","Amazon Elastic Compute Cloud","1508867","13630970","287524","APS2-BoxUsage:t1.micro","RunInstances","ap-southeast-2b","N","$0.02 per Micro Instance (t1.micro) instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0200000000","0.02000000","i-b6ef318b"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396658746918998129484341","Amazon Elastic Compute Cloud","1508867","13630970","287524","APS2-BoxUsage:t1.micro","RunInstances","ap-southeast-2b","N","$0.02 per Micro Instance (t1.micro) instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0200000000","0.02000000","i-c64e7efb"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396658746918998129484342","Amazon Elastic Compute Cloud","1508867","13630970","287524","APS2-BoxUsage:t1.micro","RunInstances","ap-southeast-2b","N","$0.02 per Micro Instance (t1.micro) instance-hour (or partial hour)","2013-09-01 00:00:00","2013-09-01 01:00:00","1.00000000","0.0200000000","0.02000000","i-fe13aec2"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585827","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2a","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000112","0.0000000000","0.00000000","i-3edc5d03"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585828","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00003909","0.0000000000","0.00000000","i-2295251e"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585829","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000083","0.0000000000","0.00000000","i-22da6e1f"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585830","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000079","0.0000000000","0.00000000","i-3507ce08"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585831","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000008","0.0000000000","0.00000000","i-4513da78"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585832","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000056","0.0000000000","0.00000000","i-59c70864"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585833","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000062","0.0000000000","0.00000000","i-7bf55347"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585834","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00004719","0.0000000000","0.00000000","i-b6ef318b"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585835","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000178","0.0000000000","0.00000000","i-c64e7efb"
